Customer ID,Date,Time In,Time Out,Duration (hours),PC Used,Game Played ,Amount Spent (INR)
CUST689,1/17/2024,14:29,17:31,3.033333333333333,PC5,League of Legends,242.66666666666666
CUST203,1/14/2024,16:56,20:36,3.6666666666666665,PC5,Brawlhalla,293.3333333333333
CUST376,4/2/2024,15:44,17:11,1.45,PC2,PUBG,116.0
CUST163,5/5/2024,11:27,20:55,9.466666666666667,PC3,Elden Ring,757.3333333333334
CUST041,5/30/2024,10:02,11:50,1.8,PC3,Elden Ring,144.0
CUST228,4/20/2024,15:16,20:01,4.75,PC2,Rocket League,380.0
CUST668,1/18/2024,17:11,18:03,0.8666666666666667,PC1,Far Cry,69.33333333333334
CUST280,1/28/2024,12:52,17:35,4.716666666666667,PC4,Elden Ring,377.33333333333337
CUST116,5/1/2024,17:41,23:20,5.65,PC5,Brawlhalla,452.0
CUST109,2/22/2024,17:38,18:53,1.25,PC3,PUBG,100.0
CUST598,1/8/2024,11:54,23:13,11.316666666666666,PC1,Brawlhalla,905.3333333333333
CUST364,1/2/2024,15:47,20:35,4.8,PC1,League of Legends,384.0
CUST440,5/28/2024,10:46,18:20,7.566666666666666,PC2,Far Cry,605.3333333333333
CUST086,1/10/2024,15:53,22:56,7.05,PC2,PUBG,564.0
CUST203,5/26/2024,17:45,23:50,6.083333333333333,PC3,PUBG,486.66666666666663
CUST172,4/5/2024,12:45,13:21,0.6,PC1,Far Cry,48.0
CUST457,4/20/2024,15:10,20:00,4.833333333333333,PC1,CS2,386.66666666666663
CUST680,3/18/2024,11:01,22:10,11.15,PC5,Minecraft,892.0
CUST393,2/17/2024,11:55,17:00,5.083333333333333,PC3,Valorant,406.66666666666663
CUST499,1/24/2024,10:39,17:57,7.3,PC5,Fortnite,584.0
CUST481,5/3/2024,12:21,19:39,7.3,PC5,CS2,584.0
CUST088,5/28/2024,18:50,19:23,0.55,PC3,League of Legends,44.0
CUST635,2/20/2024,10:32,14:37,4.083333333333333,PC3,Elden Ring,326.66666666666663
CUST220,3/17/2024,13:24,14:32,1.1333333333333333,PC3,Far Cry,90.66666666666666
CUST615,1/2/2024,12:39,19:46,7.116666666666666,PC1,Valorant,569.3333333333333
CUST398,1/1/2024,14:12,17:48,3.6,PC5,Brawlhalla,288.0
CUST425,4/21/2024,14:38,20:09,5.516666666666667,PC4,Far Cry,441.3333333333333
CUST321,3/13/2024,12:42,20:56,8.233333333333333,PC4,League of Legends,658.6666666666666
CUST567,1/17/2024,14:52,17:47,2.9166666666666665,PC5,Brawlhalla,233.33333333333331
CUST443,1/29/2024,11:57,15:25,3.466666666666667,PC2,Far Cry,277.33333333333337
CUST208,3/30/2024,16:16,21:15,4.983333333333333,PC5,Far Cry,398.6666666666667
CUST028,3/20/2024,18:30,23:53,5.383333333333334,PC4,League of Legends,430.6666666666667
CUST265,4/29/2024,14:15,20:35,6.333333333333333,PC4,Call of Duty,506.66666666666663
